CODIGO,GSSI,Número Total de Chamadas
65249,INTELIGENCIA NOVA MUTUM,146
65248,NPM CAPAO GRANDE,9
65247,NPM DECIOLANDIA,17
65246,NPM CAPAO VERDE,9
65245,INTELIGENCIA NOVA MUTUM,44
65244,NPM NOVA MARILANDIA,51
65243,NPM NOVA MARINGA,642
65242,NPM ALTO ARAGUAIA,23
65241,2° PEL NORTELANDIA,47
65240,1° PEL ARENAPOLIS,125
65239,6ºCPM SÃO JOSE RIO CLARO,525
65238,9º CIPN JACIARA,18773
65237,NPM RANCHAO,124
65236,NPM STA RITA TRIVELATO,68
65235,NPM ITANHANGA,3346
65234,1º PEL TAPURAH,2609
65233,13º BPM,18816
65232,FT NOVA MUTUM,121
65231,26º BPM,38158
65230,14º CR,980
65228,BPMFAZ,456
65226,FT AGUA BOA,17
65225,NPM SERRA DOURADA,99
65224,NPM BOM JESUS DO ARAGUAI,1001
65223,1º PEL RIBEIRAO CASCALHEIRA,583
65222,5ºCIPM,8780
65221,NPM NOVA NAZARÉ,64
65220,NPM COCALINHO,432
65219,1º PEL CAMPINAPOLIS,1505
65218,19º CIPM,3177
65217,3º CIPM,6054
65216,16º BPM,22978
65215,13º CR,698
65214,INTELIGENCIA 12º CR,5
65213,FT PONTES E LACERDA,3
65211,NPM CAMPOS JULIO,368
65210,2 CIPM COMODORO,122
65207,NPM VALE SÃO DOMINGOS,21
65206,NPM FIGUEIROPOLIS D´OESTE,3
65205,1º PEL JAURU,8
65204,1º COM VILA BELA SANT TRIND,23
65203,18ºBPM PONTES LACERDA,1286
65202,12 CR,8334
65201,SAMUROO,90298
65200,INTELIGENCIA PVL,58
65199,8 CIPM CMAPO VERDE,10711
65198,NPM STO JADURE,48
65197,NPM STO ANTONIO LESTE,120
65196,NPM GAUCHA NORTE,148
65195,1 PEL POXOREU,485
65194,3 COM PARANATINGA,9091
65193,FT PRIMAVERA LESTE,125
65192,14 BPM,36963
65191,11 CR,771
65189,FT VILA RICA,27
65188,NPM ESPIGAO LESTE,76
65187,NPM SANTO ANTONIO FONT,30
65186,NPM SANTA CRUZ XINGU,68
65185,NPM SÃO JOSE XINGU,55
65184,NPM SANTA TEREZINHA,341
65183,NPM NOVO SANTO ANTONIO,51
65182,NPM LUCIARA,51
65181,NPM CANABRAVA NORTE,222
65180,NPM ALTO BOA VISTA,300
65179,1 PEL PORTO ALEGRE NORTE,418
65178,3 COM CONFRESA,12276
65177,2 COM SÃO FELIX ARAGUAIA,1908
65176,23 BPM,9530
65175,10 CR,2050
65174,INTELIGENCIA ALTA FLORESTA,139
65173,FT ALTA FLORESTA,73
65172,3 COM COLIDER,24
65171,NPM CARLINDA,7
65170,5 PEL NOVA BANDEIRANTE,2
65169,4 PEL PARANAITA,6
65168,3 PEL NOVA MONTE VERDE,17
65167,2 PEL NOVA CANAA NORTE,16
65166,1 PEL APIACAS,23
65165,8BPM,389
65164,9CR,34025
65163,INTELIGENCIA JUINA,4
65162,FT JUINA,13
65161,NPM NOVA FRONTEIRA,9
65160,NPM AMERICANA NORTE,11
65159,NPM PARANORTE,18
65158,NPM NOVO HORIZONTE NORTE,280
65157,2 PEL TABAPORA,145
65156,1 PEL PORTO GAUCHOS,82
65155,21 BPM,3098
65154,NPM NOVA UNIAO,32
65153,NPM GUARIBA,258
65152,11 CIPM COLNIZA,1738
65151,NPM CONSELVAN,359
65150,10 CIPM ARIPUANA,159
65149,2 COM COTRIGUAÇU,156
65148,NPM JURUENA,144
65147,NPM CASTANHEIRA,44
65146,20 BPM,9386
65145,8 CR,402
65144,INTELIGENCIA TANGARA,1
65143,FT TANGARA SERRA,250
65142,NPM PORTO ESTRELA,29
65141,NPM DENISE,184
65140,1 PEL BRASNORTE,444
65139,6 CIPM SAPEZAL,11921
65138,16 CPM CAMPO NOVO P,13897
65137,1 CIPM NOVA OLIMPIA,1054
65136,12 CIPM BARRA BUGRES,8688
65135,19BPM TANGARA SERRA,45806
65134,7CR TANGARA SERRA,1391
65133,INTELIGENCIA 6 CR,4
65132,FT CACERES,18
65131,NPM LAMBARI D´OESTE,53
65130,NPM SALTO CEU,38
65129,NPM GLORIA D´OESTE,16
65128,NPM INDIAVAI,8
65127,NPM CURVELANDIA,3
65126,2 PEL RIO BRANCO,4
